DICOMMergeFieldID,MergeFieldID,DICOMSRTemplateID,Name,Description,IsActive,ValueXPath,UnitsXPath,FindingSite,Property,Modifier,HasOBContext,HasLateralityContext
1,400221,2, EMBRYONIC VASCULAR STRUCTURE DESCENDING AORTA PEAK SYSTOLIC VELOCITY MOST RECENT VALUE CHOSEN, EMBRYONIC VASCULAR STRUCTURE DESCENDING AORTA PEAK SYSTOLIC VELOCITY MOST RECENT VALUE CHOSEN,1,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='121070']/../item[value='1']/concept[@codValue='11951-1']/../../item/concept[@codValue='G-C0E3']/../value[@codValue='T-F6800']/../../item/concept[@codValue='T-D0765']/../item/concept[@codValue='11726-7']/../item/concept[@codValue='121404']/../value[@codValue='121411']/../../value,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='121070']/../item[value='1']/concept[@codValue='11951-1']/../../item/concept[@codValue='G-C0E3']/../value[@codValue='T-F6800']/../../item/concept[@codValue='T-D0765']/../item/concept[@codValue='11726-7']/../item/concept[@codValue='121404']/../value[@codValue='121411']/../../unit,Embryonic Vascular Structure,,,0,0
1,400222,2, EMBRYONIC VASCULAR STRUCTURE DESCENDING AORTA DOPPLER CORRECTION ANGLE MOST RECENT VALUE CHOSEN, EMBRYONIC VASCULAR STRUCTURE DESCENDING AORTA DOPPLER CORRECTION ANGLE MOST RECENT VALUE CHOSEN,1,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='121070']/../item[value='1']/concept[@codValue='11951-1']/../../item/concept[@codValue='G-C0E3']/../value[@codValue='T-F6800']/../../item/concept[@codValue='T-D0765']/../item/concept[@codValue='C12122-01']/../item/concept[@codValue='121404']/../value[@codValue='121411']/../../value,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='121070']/../item[value='1']/concept[@codValue='11951-1']/../../item/concept[@codValue='G-C0E3']/../value[@codValue='T-F6800']/../../item/concept[@codValue='T-D0765']/../item/concept[@codValue='C12122-01']/../item/concept[@codValue='121404']/../value[@codValue='121411']/../../unit,Embryonic Vascular Structure,,,0,0
1,400223,2, EMBRYONIC VASCULAR STRUCTURE DESCENDING AORTA RESISTIVITY INDEX MOST RECENT VALUE CHOSEN, EMBRYONIC VASCULAR STRUCTURE DESCENDING AORTA RESISTIVITY INDEX MOST RECENT VALUE CHOSEN,1,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='121070']/../item[value='1']/concept[@codValue='11951-1']/../../item/concept[@codValue='G-C0E3']/../value[@codValue='T-F6800']/../../item/concept[@codValue='T-D0765']/../item/concept[@codValue='12023-8']/../item/concept[@codValue='121404']/../value[@codValue='121411']/../../value,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='121070']/../item[value='1']/concept[@codValue='11951-1']/../../item/concept[@codValue='G-C0E3']/../value[@codValue='T-F6800']/../../item/concept[@codValue='T-D0765']/../item/concept[@codValue='12023-8']/../item/concept[@codValue='121404']/../value[@codValue='121411']/../../unit,Embryonic Vascular Structure,,,0,0
1,400224,2, EMBRYONIC VASCULAR STRUCTURE DUCTUS VENOSUS END DIASTOLIC VELOCITY MOST RECENT VALUE CHOSEN, EMBRYONIC VASCULAR STRUCTURE DUCTUS VENOSUS END DIASTOLIC VELOCITY MOST RECENT VALUE CHOSEN,1,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='121070']/../item[value='1']/concept[@codValue='11951-1']/../../item/concept[@codValue='G-C0E3']/../value[@codValue='T-F6800']/../../item/concept[@codValue='C12141-01']/../item/concept[@codValue='11653-3']/../item/concept[@codValue='121404']/../value[@codValue='121411']/../../value,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='121070']/../item[value='1']/concept[@codValue='11951-1']/../../item/concept[@codValue='G-C0E3']/../value[@codValue='T-F6800']/../../item/concept[@codValue='C12141-01']/../item/concept[@codValue='11653-3']/../item/concept[@codValue='121404']/../value[@codValue='121411']/../../unit,Embryonic Vascular Structure,,,0,0
1,400225,2, EMBRYONIC VASCULAR STRUCTURE DUCTUS VENOSUS PEAK SYSTOLIC VELOCITY MOST RECENT VALUE CHOSEN, EMBRYONIC VASCULAR STRUCTURE DUCTUS VENOSUS PEAK SYSTOLIC VELOCITY MOST RECENT VALUE CHOSEN,1,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='121070']/../item[value='1']/concept[@codValue='11951-1']/../../item/concept[@codValue='G-C0E3']/../value[@codValue='T-F6800']/../../item/concept[@codValue='C12141-01']/../item/concept[@codValue='11726-7']/../item/concept[@codValue='121404']/../value[@codValue='121411']/../../value,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='121070']/../item[value='1']/concept[@codValue='11951-1']/../../item/concept[@codValue='G-C0E3']/../value[@codValue='T-F6800']/../../item/concept[@codValue='C12141-01']/../item/concept[@codValue='11726-7']/../item/concept[@codValue='121404']/../value[@codValue='121411']/../../unit,Embryonic Vascular Structure,,,0,0
1,400226,2, EMBRYONIC VASCULAR STRUCTURE DUCTUS VENOSUS DOPPLER CORRECTION ANGLE MOST RECENT VALUE CHOSEN, EMBRYONIC VASCULAR STRUCTURE DUCTUS VENOSUS DOPPLER CORRECTION ANGLE MOST RECENT VALUE CHOSEN,1,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='121070']/../item[value='1']/concept[@codValue='11951-1']/../../item/concept[@codValue='G-C0E3']/../value[@codValue='T-F6800']/../../item/concept[@codValue='C12141-01']/../item/concept[@codValue='C12122-01']/../item/concept[@codValue='121404']/../value[@codValue='121411']/../../value,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='121070']/../item[value='1']/concept[@codValue='11951-1']/../../item/concept[@codValue='G-C0E3']/../value[@codValue='T-F6800']/../../item/concept[@codValue='C12141-01']/../item/concept[@codValue='C12122-01']/../item/concept[@codValue='121404']/../value[@codValue='121411']/../../unit,Embryonic Vascular Structure,,,0,0
1,400227,2, EMBRYONIC VASCULAR STRUCTURE DUCTUS VENOSUS RESISTIVITY INDEX MOST RECENT VALUE CHOSEN, EMBRYONIC VASCULAR STRUCTURE DUCTUS VENOSUS RESISTIVITY INDEX MOST RECENT VALUE CHOSEN,1,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='121070']/../item[value='1']/concept[@codValue='11951-1']/../../item/concept[@codValue='G-C0E3']/../value[@codValue='T-F6800']/../../item/concept[@codValue='C12141-01']/../item/concept[@codValue='12023-8']/../item/concept[@codValue='121404']/../value[@codValue='121411']/../../value,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='121070']/../item[value='1']/concept[@codValue='11951-1']/../../item/concept[@codValue='G-C0E3']/../value[@codValue='T-F6800']/../../item/concept[@codValue='C12141-01']/../item/concept[@codValue='12023-8']/../item/concept[@codValue='121404']/../value[@codValue='121411']/../../unit,Embryonic Vascular Structure,,,0,0
1,400228,2, EMBRYONIC VASCULAR STRUCTURE THORACIC AORTA END DIASTOLIC VELOCITY MOST RECENT VALUE CHOSEN, EMBRYONIC VASCULAR STRUCTURE THORACIC AORTA END DIASTOLIC VELOCITY MOST RECENT VALUE CHOSEN,1,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='121070']/../item[value='1']/concept[@codValue='11951-1']/../../item/concept[@codValue='G-C0E3']/../value[@codValue='T-F6800']/../../item/concept[@codValue='T-42070']/../item/concept[@codValue='11653-3']/../item/concept[@codValue='121404']/../value[@codValue='121411']/../../value,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='121070']/../item[value='1']/concept[@codValue='11951-1']/../../item/concept[@codValue='G-C0E3']/../value[@codValue='T-F6800']/../../item/concept[@codValue='T-42070']/../item/concept[@codValue='11653-3']/../item/concept[@codValue='121404']/../value[@codValue='121411']/../../unit,Embryonic Vascular Structure,,,0,0
1,400229,2, EMBRYONIC VASCULAR STRUCTURE THORACIC AORTA PEAK SYSTOLIC VELOCITY MOST RECENT VALUE CHOSEN, EMBRYONIC VASCULAR STRUCTURE THORACIC AORTA PEAK SYSTOLIC VELOCITY MOST RECENT VALUE CHOSEN,1,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='121070']/../item[value='1']/concept[@codValue='11951-1']/../../item/concept[@codValue='G-C0E3']/../value[@codValue='T-F6800']/../../item/concept[@codValue='T-42070']/../item/concept[@codValue='11726-7']/../item/concept[@codValue='121404']/../value[@codValue='121411']/../../value,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='121070']/../item[value='1']/concept[@codValue='11951-1']/../../item/concept[@codValue='G-C0E3']/../value[@codValue='T-F6800']/../../item/concept[@codValue='T-42070']/../item/concept[@codValue='11726-7']/../item/concept[@codValue='121404']/../value[@codValue='121411']/../../unit,Embryonic Vascular Structure,,,0,0
1,400230,2, EMBRYONIC VASCULAR STRUCTURE THORACIC AORTA DOPPLER CORRECTION ANGLE MOST RECENT VALUE CHOSEN, EMBRYONIC VASCULAR STRUCTURE THORACIC AORTA DOPPLER CORRECTION ANGLE MOST RECENT VALUE CHOSEN,1,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='121070']/../item[value='1']/concept[@codValue='11951-1']/../../item/concept[@codValue='G-C0E3']/../value[@codValue='T-F6800']/../../item/concept[@codValue='T-42070']/../item/concept[@codValue='C12122-01']/../item/concept[@codValue='121404']/../value[@codValue='121411']/../../value,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='121070']/../item[value='1']/concept[@codValue='11951-1']/../../item/concept[@codValue='G-C0E3']/../value[@codValue='T-F6800']/../../item/concept[@codValue='T-42070']/../item/concept[@codValue='C12122-01']/../item/concept[@codValue='121404']/../value[@codValue='121411']/../../unit,Embryonic Vascular Structure,,,0,0
